Date  Open  High  Low  Close  Adj_Close  Volume
2018-01-02  86.129997  86.309998  85.500000  85.949997  84.487411  22483800
2018-01-03  86.059998  86.510002  85.970001  86.349998  84.880608  26061400
2018-01-04  86.589996  87.660004  86.570000  87.110001  85.627678  21912000
2018-01-05  87.660004  88.410004  87.430000  88.190002  86.689301  23407100
2018-01-08  88.199997  88.580002  87.599998  88.279999  86.777763  22113000
2018-01-09  88.650002  88.730003  87.860001  88.220001  86.718788  19484300
2018-01-10  87.860001  88.190002  87.410004  87.820000  86.325592  18652200
2018-01-11  88.129997  88.129997  87.239998  88.080002  86.581169  17808900
2018-01-12  88.669998  89.779999  88.449997  89.599998  88.075310  24271500
2018-01-16  90.099998  90.790001  88.010002  88.349998  86.846573  36599700
2018-01-17  89.080002  90.279999  88.750000  90.139999  88.606117  25602600
2018-01-18  89.800003  90.669998  89.660004  90.099998  88.566795  24159700
2018-01-19  90.139999  90.610001  89.660004  90.000000  88.468498  36875000
2018-01-22  90.000000  91.620003  89.739998  91.610001  90.051102  23601600
2018-01-23  91.900002  92.300003  91.540001  91.900002  90.336159  23412800
2018-01-24  92.550003  93.430000  91.580002  91.820000  90.257530  33277500
2018-01-25  92.470001  93.239998  91.930000  92.330002  90.758850  26383200
2018-01-26  93.120003  94.059998  92.580002  94.059998  92.459412  29172200
2018-01-29  95.139999  95.449997  93.720001  93.919998  92.321793  31569900
2018-01-30  93.300003  93.660004  92.099998  92.739998  91.161865  38635100
2018-01-31  93.750000  95.400002  93.510002  95.010002  93.393242  48756300
2018-02-01  94.790001  96.070000  93.580002  94.260002  92.656006  47227900
2018-02-02  93.639999  93.970001  91.500000  91.779999  90.218201  47867800
2018-02-05  90.559998  93.239998  88.000000  88.000000  86.502533  51031500
2018-02-06  86.889999  91.480003  85.250000  91.330002  89.775864  67998600
2018-02-07  90.489998  91.769997  89.199997  89.610001  88.085136  41107600
2018-02-08  89.709999  89.879997  84.760002  85.010002  83.563408  55628700
2018-02-09  86.300003  88.930000  83.830002  88.180000  86.679474  63499100
2018-02-12  88.739998  89.779999  87.930000  89.129997  87.613297  35720300
2018-02-13  88.930000  90.000000  87.800003  89.830002  88.301384  26407700
2018-02-14  88.510002  90.989998  88.410004  90.809998  89.684029  34960900
2018-02-15  91.209999  92.720001  90.620003  92.660004  91.511101  27823900
2018-02-16  92.449997  93.500000  91.800003  92.000000  90.859276  30596900
2018-02-20  91.480003  93.059998  91.010002  92.720001  91.570351  30911700
2018-02-21  92.980003  93.360001  91.489998  91.489998  90.355598  26922500
2018-02-22  92.050003  92.730003  91.360001  91.730003  90.592628  24392800
2018-02-23  93.599998  94.070000  92.360001  94.059998  92.893738  26329200
2018-02-26  94.400002  95.449997  94.250000  95.419998  94.236862  30199800
2018-02-27  95.739998  95.839996  94.199997  94.199997  93.031998  25869100
2018-02-28  94.839996  95.709999  93.629997  93.769997  92.607330  31167300
2018-03-01  93.989998  94.570000  91.839996  92.849998  91.698730  37135600
2018-03-02  91.580002  93.150002  90.860001  93.050003  91.896263  32830400
2018-03-05  92.339996  94.269997  92.260002  93.639999  92.478943  23901600
2018-03-06  94.339996  94.489998  92.940002  93.320000  92.162910  22175800
2018-03-07  93.160004  93.940002  92.430000  93.860001  92.696220  26716100
2018-03-08  94.269997  95.099998  93.769997  94.430000  93.259148  25887800
2018-03-09  95.290001  96.540001  95.000000  96.540001  95.342987  36937300
2018-03-12  96.500000  97.209999  96.040001  96.769997  95.570129  26073700
2018-03-13  97.000000  97.239998  93.970001  94.410004  93.239403  35387800
2018-03-14  95.120003  95.410004  93.500000  93.849998  92.686333  32132000
2018-03-15  93.529999  94.580002  92.830002  94.180000  93.012253  27611000
2018-03-16  94.680000  95.379997  93.919998  94.599998  93.427040  49081300
2018-03-19  93.739998  93.900002  92.110001  92.889999  91.738235  33344100
2018-03-20  93.050003  93.769997  93.000000  93.129997  91.975266  23075200
2018-03-21  92.930000  94.050003  92.209999  92.480003  91.333321  24457100
2018-03-22  91.269997  91.750000  89.660004  89.790001  88.676682  38604700
2018-03-23  89.500000  90.459999  87.080002  87.180000  86.099037  44068900
2018-03-26  90.610001  94.000000  90.400002  93.779999  92.617203  56396800
2018-03-27  94.940002  95.139999  88.510002  89.470001  88.360649  56569000
